"Population at the first day of the quarter by marital status, sex,"
"region, age and time"

" "," "," "," ","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"Total"
" ","Total"
" "," ","All Denmark"
" "," "," ","41 years",79448,78186,77173,76268,75996,75621,74933,75126,75460,75812,76330,77166,78203,79047,80190,80997,80830,79984,79436,78057,77299,76944,76952,76714,77158,77450,77809,78494,78902,78923,78043,76849,75207,73322,72184,71156,70567,70752,70513,71394,71764,71301,71019,70337,69707,69601,69661,69368,69288
" "," "," ","42 years",86207,83808,82163,80905,79467,78221,77231,76243,75933,75519,74903,75207,75523,75865,76372,77180,78227,79121,80294,81190,81086,80293,79700,78335,77567,77236,77188,76941,77397,77682,78002,78637,79118,79079,78135,76984,75326,73420,72272,71242,70634,70755,70480,71284,71722,71377,71136,70471,69897
" "," "," ","43 years",89246,89948,89357,88198,86146,83770,82158,80885,79458,78195,77217,76222,75901,75538,74930,75157,75557,75905,76474,77340,78404,79273,80488,81422,81335,80591,79969,78557,77763,77344,77310,77084,77504,77816,78157,78716,79227,79183,78190,77049,75316,73376,72226,71160,70619,70813,70630,71495,71909
" "," "," ","44 years",86765,87053,87831,88590,89188,89886,89282,88076,86010,83663,82080,80848,79397,78172,77207,76215,75903,75537,74949,75212,75639,76015,76632,77549,78644,79530,80728,81606,81565,80766,80107,78644,77821,77458,77445,77214,77592,77909,78223,78801,79215,79147,78125,76946,75331,73472,72340,71353,70754
" "," "," ","45 years",84553,85078,85088,85863,86666,86958,87748,88479,89059,89720,89132,87989,85921,83608,82015,80796,79376,78207,77287,76345,76003,75617,75059,75350,75846,76230,76838,77791,78764,79623,80821,81698,81696,80860,80189,78729,77909,77501,77482,77226,77653,77918,78228,78709,79192,79216,78248,77130,75517
" "," "," ","46 years",81686,83259,84235,84028,84446,84977,84957,85752,86580,86839,87621,88381,88954,89637,89086,87929,85907,83563,82047,80915,79470,78320,77383,76462,76169,75768,75184,75493,75981,76335,76954,77811,78805,79664,80875,81802,81758,80871,80182,78715,77916,77451,77404,77143,77599,77980,78303,78860,79319
" "," "," ","47 years",78926,78679,79232,80491,81566,83134,84109,83907,84292,84756,84836,85641,86445,86726,87466,88243,88864,89566,88988,87869,85918,83592,82084,80990,79561,78457,77538,76558,76249,75795,75242,75544,76001,76329,76946,77814,78789,79687,80866,81757,81638,80790,80132,78650,77858,77444,77483,77305,77763
" "," "," ","48 years",76089,76456,77331,78215,78794,78571,79113,80376,81447,82956,83899,83703,84113,84632,84696,85460,86284,86609,87377,88188,88789,89520,89024,87873,85916,83615,82104,81038,79597,78492,77542,76561,76226,75795,75200,75499,75944,76259,76930,77761,78742,79589,80767,81653,81588,80822,80169,78714,77930
" "," "," ","49 years",75710,76363,76208,75924,75884,76264,77140,78013,78578,78320,78869,80139,81234,82748,83653,83516,83982,84480,84568,85349,86176,86555,87309,88166,88794,89569,89065,87886,85947,83596,82104,80986,79547,78441,77492,76541,76229,75765,75125,75436,75866,76141,76779,77537,78634,79542,80748,81740,81662
" "," "," ","50 years",73629,73151,73522,74561,75453,76131,75984,75692,75635,76009,76906,77743,78319,78091,78698,79953,81031,82579,83525,83416,83866,84374,84484,85304,86131,86524,87254,88111,88768,89501,88981,87787,85889,83536,82028,80922,79464,78405,77470,76470,76076,75628,75004,75318,75742,76109,76772,77599,78688
" "," "," ","51 years",72827,73255,73183,72542,73354,72913,73284,74339,75230,75860,75711,75467,75416,75819,76657,77467,78061,77902,78518,79738,80854,82413,83363,83305,83747,84268,84411,85236,86078,86422,87156,88018,88595,89348,88829,87674,85770,83435,81946,80820,79372,78262,77291,76271,75958,75552,74961,75327,75749
" "," "," ","52 years",72828,72749,73069,73401,72556,72997,72927,72297,73093,72646,73034,74045,74952,75605,75496,75320,75240,75621,76446,77284,77888,77725,78338,79563,80680,82244,83220,83164,83607,84118,84246,85088,85956,86281,86983,87787,88375,89142,88588,87501,85579,83275,81761,80606,79181,78124,77206,76293,75971
" "," "," ","53 years",72957,73155,72716,72818,72511,72401,72725,73105,72292,72731,72652,72059,72817,72384,72673,73706,74674,75360,75313,75111,75028,75418,76229,77117,77720,77537,78126,79408,80541,82117,83060,82990,83424,83915,84050,84925,85731,86087,86789,87536,88144,88906,88389,87305,85392,83153,81653,80531,79111
